#1.2			
2389	2		
NAMES	DESCRIPTION	H2O_old	H2O_young
CG46301		0.412763	317.166
SWI2		4.90096	2648.23
CG7059		1.37841	103.57
CG9109		0.134266	6.86136
NA		1.45453	72.4171
CP16		14.3426	549.685
CR43196		4578.64	146453
FEMCOAT		2.25341	71.28
CG8646		1.12273	28.329
CG11905		0.19734	4.71605
CCAP-R		0.0525107	1.22262
CYP4E1		2.98515	67.9776
CP19		25.7403	583.872
CG30008		629.734	12873.4
CG15358		24.6427	494.937
YP2		296.275	5864.04
CG32642		0.20714	4.09622
"CG6432,DIS3"		233.336	4401.85
"DYS,SNORNA:ME18S-A1374"		10.7833	195.585
CG32368		60.0627	1072.55
"TRNA:GLU-CTC-1-1,TRNA:GLU-TTC-1-2"		31.9793	542.641
NA		3.91262	63.9891
NA		3.32072	52.9656
FASN3		68.8078	1070.12
CP18		51.7249	800.203
CG12688		0.149882	2.29763
CG14187		1.82399	27.0422
CG7567		0.388289	5.74357
CG32198		0.481096	7.1135
CG18609		92.2213	1319.47
CG9458		645.03	9203.93
NA		1.28223	18.0832
"CG13085,CG16771,LECTIN-GALC1,PAX,LECTIN-37DA,LECTIN-37DB"		177.699	2414.57
NA		0.621398	8.41751
NA		2.23728	29.2001
OBP99A		12.2915	157.047
TBCMF46		3.19191	38.9916
OBP56G		1.01906	12.1444
CG3088		2.30729	27.0788
VM34CA		66.9157	779.217
CG10035		0.175593	2.02456
CG6602		3.81489	42.8053
JON25BI		1.09379	12.156
CG4592		38.3796	401.633
LSP1BETA		0.511646	5.28365
CG15531		578.833	5950.92
CG13114		1.09612	11.14
CG10581		25.1237	250.953
CG13618		3.79811	37.3639
JON99CII		20.1983	196.457
VM26AC		1.48937	14.3644
CG7365		4.42833	42.5787
CG15646		1.41467	13.5005
CG11899		145.969	1380.25
MT2		4.81569	45.5005
NA		3.86897	36.3119
CG16704		8.85454	81.8474
CG3663		64.926	590.629
FCP3C		1.00192	9.06229
CG4393		3.72217	33.409
"CG16799,RIG"		73.5884	655.552
CG17562		108.507	946.48
CG12851		0.704991	6.10894
CG6746		376.406	3256.64
CG17239		0.748002	6.4457
CG17646		104.07	879.672
PSD		0.683607	5.75293
LYSD		6.45446	53.753
NA		2.86383	23.6497
CG15570		0.398283	3.28249
CG2991		24.2935	200.108
"CG7910,CR44330"		823.04	6750.99
DBI		1910.05	15574
ARPC3A		47.2817	376.944
CG34203		3.61475	28.7369
VM26AB		51.5514	408.752
MGSTL		432.492	3410.46
CR44431		1558.21	12187.4
CG43351		17.7677	138.736
CG14645		190.618	1485.93
CG4020		356.914	2755.69
NA		1.76116	13.5866
CG15254		0.835027	6.38214
CG13023		0.200519	1.52853
CG34291		4.67005	35.5919
JON99CIII		13.1618	100.136
CG8343		8.86719	67.4359
CG11885		167.056	1261.96
DRSL4		9.10731	68.1247
POLY		55.23	412.913
CG7900		6.20472	46.1389
CR12628		228.187	1667.9
CP36		16.384	119.751
CG5973		100.465	729.456
CG34172		20.4329	146.096
CG10672		163.403	1168.12
CG12541		3.49896	24.9309
CPR62BC		0.676869	4.7103
CG7214		0.362741	2.52277
CPR47EF		0.373393	2.58746
PERITROPHIN-15B		3.86569	26.7284
JON74E		26.8159	184.712
CISD2		551.047	3779.15
"ND-MLRQ,MIR-4942"		716.304	4900.49
CG15068		137.663	939.923
CG10399		12.7046	86.724
CG34377		0.108402	0.737589
CG10479		62.8995	427.385
CPR62BB		1.60245	10.858
CR44553		0.743031	5.03058
CG18404		7.91374	52.9353
CG43114		17.1333	113.622
CG13102		3.72475	24.6268
"CG8534,ELOF"		724.012	4775.98
AG5R2		4.40945	29.0005
CG17597		243.912	1603.43
"ADGF-A,ADGF-A2"		18.8876	123.64
CG17192		1.7846	11.6721
GNMT		20.969	136.623
CP38		8.86365	57.628
CYP12E1		4.54958	29.539
CG9286		12.3875	80.4058
"CG16713,CG43165,CR43364"		67.5715	437.64
TOLL-7		0.79123	5.06694
NA		4.13386	26.4676
CG13306		7.13309	45.1352
CR45401		125.91	795.551
CG13091		287.921	1804.38
CG13083		1.58446	9.88222
"SNZ,SPIDEY"		913.164	5683.15
"CG46307,NHE2"		5.75719	35.6187
SLIRP2		35.4599	218.355
CG14277		2.15637	13.2537
NA		1.05695	6.45062
CG12321		709.729	4325.31
CG16904		278.194	1692.58
"CR45943,CSN3"		137.052	823.362
18SRRNA-PSI:CR41602		0.20025	1.19725
RFESP		212.909	1271.55
SRP19		164.201	977.401
CG15126		12.0841	71.9048
PPO2		0.593006	3.52588
NA		0.896725	5.31193
TRS33		34.6834	205.224
CG15711		2.73138	16.1136
OBP19A		1.14977	6.77383
PROSALPHA2		1152.62	6745.11
CG42704		12.8428	74.6522
FAD2		1289.39	7493.12
CG8299		1.59031	9.23237
CG43630		1155.87	6604.2
PGRP-LC		46.1428	261.449
NA		1.96343	11.1153
PROSBETA3		794.423	4481.48
NA		1.13862	6.42263
OBP83A		2.12244	11.9486
CG15515		4.00756	22.5296
CG15027		78.8432	440.654
RDO		0.0993832	0.553348
IM33		256.803	1428.3
CG43112		4.9125	27.2353
CG12057		5.05019	27.9561
CG8993		263.789	1442.25
MRPL41		45.7877	249.779
ALP2		1.27841	6.97342
CG7484		156.189	851.509
JON25BII		0.485459	2.64161
CG3906		16.7115	90.6542
NA		3.85238	20.7905
CR44807		24.6536	131.933
OBP83B		2.13662	11.4281
CG6660		148.907	795.619
CG16820		0.489415	2.60725
"CG31265,CG31269"		1.61411	8.58803
SC2		652.903	3454.88
LYSX		11.6318	61.4809
PGRP-SC1B		0.618237	3.26557
CG17571		33.2504	175.445
YP1		358.319	1889.46
CG13428		16.5621	87.133
CG31922		26.9851	141.565
NA		3.24164	16.9418
NA		1.24404	6.48927
CG4678		3.30702	17.2405
NA		1.6352	8.51315
CG34166		44.6335	232.353
28SRRNA-PSI:CR45851		5.69204	29.5568
CG10014		0.844156	4.38298
28SRRNA-PSI:CR40741		0.315096	1.63525
CG12056		110.9	574.585
OBP19B		1.23577	6.39013
"ADGF-D,CG31469"		11.0251	56.9458
CG14893		6.07166	31.3314
NA		1.00537	5.18676
"CR43637,FARO"		214.439	1104.97
CG40198		0.447141	2.30241
28SRRNA-PSI:CR40596		63.5337	326.102
CG8320		97.3124	499.444
CG9067		44.9182	230.24
CG5919		73.6199	376.008
CG6836		4.16903	21.1432
NA		5.81566	29.4528
CG34327		0.499976	2.52913
PROSBETA4		1298.61	6552.58
CG11137		181.081	912.582
NA		1.48012	7.44802
CG8560		3.82876	19.2613
UK114		199.724	1004.2
CR43765		5.56109	27.9288
BETATRY		188.348	945.743
ETATRY		4.90547	24.4482
ND-B12		630.442	3132.28
NA		1.12318	5.53954
UQCR-C2		198.871	980.552
CG3344		5.09307	25.0313
PERITROPHIN-15A		17.9045	87.9003
NA		1.40275	6.86069
CPR65AU		10.9891	53.7468
PROSBETA2		711.841	3466.71
FDH		220.894	1070.33
YELLOW-G2		2.70151	13.0756
CG34461		1.25468	6.06727
TOM7		1167.07	5638.98
CPR72EC		2.56179	12.3413
CG14834		1.22669	5.89198
UQCR-14		464.197	2226.72
SEND1		0.599766	2.87384
CG6503		111.917	534.036
CG11353		0.455236	2.1696
CG32379		0.678242	3.22879
CG6950		113.175	538.748
CG31287		4.0712	19.3485
CP7FB		16.1607	76.7735
NA		1.16528	5.53042
MESK4		3.21599	15.2589
CG13992		0.277675	1.31631
CG7542		7.66937	36.3196
CG13067		1.09545	5.17744
ND-30		159.935	755.78
SOBP		3.38422	15.9785
CDA9		1.49385	7.04405
MRPL2		29.2312	137.278
CG10943		5.40652	25.2779
SOD1		3128.22	14573.1
CG11781		138.211	643.857
OBP28A		3.78943	17.5157
CR31084		2.28669	10.5498
CG15142		13.1005	60.345
NA		1.81065	8.32782
FJ		0.571516	2.61958
"CG1979,CG1988,SODH-1"		5.10045	23.3497
ND-B15		177.457	807.679
CHT9		1.72348	7.83023
RPN12		390.294	1772.74
CG41128		238.898	1084.95
CG43965		64.6694	293.645
CPR100A		0.339689	1.53645
CYP4D20		12.2263	55.0772
KAPPATRY		5.04459	22.6822
NA		2.11375	9.46423
BETATUB97EF		180.666	807.276
JON25BIII		13.3958	59.8504
ORCT2		12.8467	57.3376
CG3420		143.718	640.361
"ORC6,PROSALPHA7"		1592.61	7087.79
CG11752		286.635	1274.58
CG8417		39.4522	174.45
CG9577		74.7399	328.101
NA		2.27321	9.97324
"CG31086,CG31323"		37.9356	165.743
PROSBETA1		788.355	3437.27
CG13623		39.5671	171.913
CG16836		7.8312	33.9907
UFM1		185.604	805.107
CG9672		4.38973	19.0244
"CG13284,CG31810"		239.729	1038.46
JON66CI		1.83913	7.95313
CG5804		103.754	448.455
CG13084		0.493307	2.13213
"CR45827,SCOT"		117.94	509.401
TALDO		379.198	1636.34
CG14820		0.575735	2.48395
CG15818		0.848046	3.64361
"CG4908,PROSALPHA6"		401.496	1723.35
CR31044		7.86576	33.7149
CG33127		5.61245	24.021
CG16749		10.918	46.6545
CG1504		0.407768	1.73414
PROSBETA7		4284.41	18214.2
SSP7		66.2917	281.513
CG15270		0.727686	3.08575
NA		1.27003	5.37226
UQCR-6.4		836.636	3537.23
CG7298		1.58222	6.68247
NA		1.54278	6.49958
